ISO,NATION,POPULATION,PRE-PANDEMIC GDP PER CAPITA ($),POST-PANDEMIC GDP PER CAPITA ($),GDP CHANGE (%),PUBLIC DEBT TO GDP (%),POPULATION BELOW POVERTY LEVEL (%),INTERNET USERS (%),AGE 55 TO 64 (%),AGE 65+ (%),AGE ELDERLY (%),HEALTHCARE COVERAGE (%),LAST VACCINE UPDATE,TOTAL VACCINATIONS,PEOPLE VACCINATED,PEOPLE FULLY VACCINATED,total_boosters,total_boosters_per_hundred,PEOPLE VACCINATED PERCENT,PEOPLE FULLY_VACCINATED PERCENT,TYPE OF VACCINE,TOTAL CASES,TOTAL DEATHS,TOTAL CASES PER THOUSAND,TOTAL DEATHS PER THOUSAND
660,Anguilla,15000,12200,0,0,20.1,23,81.57,12.42,9.78,22.2,0,2021-10-01,18704,9548,9156,0,0,63.65,61.04,Oxford/AstraZeneca,409,1,27.27,0.07
28,Antigua and Barbuda,98000,"17,195",14748,-14.23,112.66,0,76,10.74,8.91,19.65,0,2021-09-28,93318,51148,42170,0,0,52.19,43.03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",3231,79,32.97,0.81
32,Argentina,45196000,9890,9095,-8.04,96.69,27.2,74.29,9.07,12.13,21.2,72,2021-10-01,52019147,29739848,22336131,0,0,65.8,49.42,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",5255261,115130,116.28,2.55
533,Aruba,107000,25745,22709,-11.79,120.29,0,97.17,14.79,15.05,29.84,0,2021-10-01,156355,81461,74894,0,0,76.13,69.99,Pfizer/BioNTech,15472,166,144.6,1.55
44,The Bahamas,393000,35664,31531,-11.59,81.95,9.3,85,10.75,9.08,19.83,0,2021-10-01,207784,124207,88265,0,0,31.6,22.46,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",20842,523,53.03,1.33
52,Barbados,287000,18139,17472,-3.68,124.52,0,81.76,13.91,13.57,27.48,0,2021-09-30,241915,136034,105881,0,0,47.4,36.89,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8180,69,28.5,0.24
84,Belize,398000,4498,3968,-11.78,132.26,41,47.08,6.18,4.53,10.71,0,2021-09-29,321277,193769,127508,0,0,48.69,32.04,"Oxford/AstraZeneca, Sinopharm/Beijing",20568,409,51.68,1.03
60,Bermuda,72000,81798,0,0,43,11,98.37,16.37,19.74,36.11,0,2021-10-01,87215,44190,43025,0,0,61.38,59.76,"Oxford/AstraZeneca, Pfizer/BioNTech",5244,72,72.83,1
68,Bolivia,11673000,3566,3618,1.46,68.31,31.1,43.83,6.06,5.71,11.77,35,2021-09-26,6651655,4252426,3258388,0,0,36.43,27.91,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",500090,18726,42.84,1.6
535,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Brazil,212559000,8751,6728,-23.12,102.76,19.2,67.47,9.78,9.21,18.99,0,2021-09-30,237425768,151150943,90860944,0,0,71.11,42.75,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",21399546,596122,100.68,2.8
92,British Virgin Islands,30000,34200,0,0,0,0,77.7,12.83,10.63,23.46,0,2021-09-24,32398,17439,14959,0,0,58.13,49.86,"Johnson&Johnson, Oxford/AstraZeneca",2676,37,89.2,1.23
124,Canada,38132000,46272,45871,-0.87,114.648,8.7,91,14.08,18.98,33.06,0,2021-10-01,56340815,29297361,27043454,0,0,76.83,70.92,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1620137,27819,42.49,0.73
136,Cayman Islands,66000,71549,0,0,0,0,81.07,14.78,14.24,29.02,0,2021-10-01,110400,55200,55200,0,0,83.64,83.64,"Oxford/AstraZeneca, Pfizer/BioNTech",835,2,12.65,0.03
152,Chile,19116000,14772,14208,-3.82,37.51,10.7,82.33,11.98,11.81,23.79,82.3,2021-09-30,32322960,15412853,14152544,3324187,17.3,80.63,74.04,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",1654264,37468,86.54,1.96
170,Colombia,50883000,6423,5457,-15.04,68.06,31.7,62.26,9.93,8.39,18.32,92.5,2021-09-29,40404815,26332902,16929789,0,0,51.75,33.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",4955848,126261,97.4,2.48
188,Costa Rica,5094000,12244,11805,-3.59,74.76,16.5,74.09,9.99,8.76,18.75,74.6,2021-09-27,5596495,3407214,2189281,0,0,66.89,42.98,"Oxford/AstraZeneca, Pfizer/BioNTech",530113,6349,104.07,1.25
192,Cuba,11327000,9136,0,0,47.7,0,57.15,14.11,15.8,29.91,0,2021-09-29,21004660,9331789,5073888,0,0,82.39,44.79,"Abdala, Soberana02",877428,7436,77.46,0.66
531,Curacao,152000,24479,0,0,33.2,0,68.13,13.88,16.52,30.4,0,2021-10-01,187283,97897,89386,0,0,64.41,58.81,"Moderna, Pfizer/BioNTech",16465,162,108.32,1.07
212,Dominica,72000,8305,8111,-2.34,88.98,0,69.62,10.53,12.12,22.65,0,2021-10-01,46694,25127,21567,0,0,34.9,29.95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3481,20,48.35,0.28
214,Dominican Republic,10848000,8596,7740,-9.96,68.2,20.3,74.82,8.17,6.29,14.46,77.9,2021-09-30,11919643,6069351,4907894,942398,8.6,55.95,45.24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",358455,4046,33.04,0.37
